problem,expected_szs,result,time_ms,steps,active_branches_max,csp_calls
SYO/SYO023^1.p,Theorem,thm,5,1.0,1.0,0.0
SYO/SYO021^1.p,Theorem,thm,5,3.0,1.0,0.0
SET/SET605^5.p,Theorem,thm,5,3.0,1.0,0.0
SEV/SEV161^5.p,Theorem,thm,5,4.0,1.0,0.0
SYO/SYO077^5.p,Theorem,thm,5,5.0,1.0,1.0
SEU/SEU513^2.p,Theorem,thm,5,6.0,1.0,1.0
SYO/SYO131^5.p,Theorem,thm,5,4.0,1.0,1.0
SYO/SYO029^1.p,Theorem,thm,5,3.0,1.0,0.0
SYO/SYO291^5.p,Theorem,thm,5,3.0,1.0,1.0
SYO/SYO279^5.p,CounterSatisfiable,csa,5,3.0,1.0,0.0
SET/SET629^5.p,Theorem,thm,5,4.0,1.0,0.0
SEV/SEV159^5.p,Theorem,thm,5,3.0,1.0,0.0
NUM/NUM671^1.p,Theorem,thm,5,3.0,1.0,0.0
SEV/SEV188^5.p,Theorem,thm,6,2.0,1.0,0.0
NUM/NUM674^1.p,Theorem,thm,6,3.0,1.0,0.0
NUM/NUM726^1.p,Theorem,thm,6,3.0,1.0,0.0
SEV/SEV369^5.p,CounterSatisfiable,csa,6,5.0,1.0,0.0
SET/SET580^5.p,Theorem,thm,6,4.0,1.0,0.0
SYO/SYO025^1.p,Theorem,thm,6,1.0,1.0,0.0
SEV/SEV397^5.p,Theorem,thm,6,2.0,1.0,0.0
SYO/SYO210^5.p,CounterSatisfiable,csa,6,5.0,1.0,0.0
SEV/SEV388^5.p,Theorem,thm,6,3.0,1.0,0.0
SEV/SEV047^5.p,Theorem,thm,6,4.0,1.0,0.0
SYO/SYO216^5.p,Theorem,thm,6,4.0,1.0,0.0
SEU/SEU858^5.p,Theorem,thm,6,2.0,1.0,0.0
SYO/SYO282^5.p,Theorem,thm,6,6.0,1.0,1.0
SET/SET630^5.p,Theorem,thm,6,4.0,1.0,0.0
ANA/ANA123^1.p,Theorem,thm,6,3.0,1.0,0.0
SYO/SYO346^5.p,Theorem,thm,6,4.0,1.0,0.0
SYO/SYO086^5.p,Theorem,thm,6,1.0,1.0,0.0
SYO/SYO085^5.p,Theorem,thm,6,1.0,1.0,0.0
SET/SET617^5.p,Theorem,thm,6,2.0,1.0,0.0
SET/SET607^5.p,Theorem,thm,6,3.0,1.0,0.0
SYO/SYO155^5.p,CounterSatisfiable,csa,6,4.0,1.0,0.0
SYO/SYO019^1.p,Theorem,thm,6,3.0,1.0,0.0
SYO/SYO138^5.p,CounterSatisfiable,csa,6,4.0,1.0,0.0
SEU/SEU923^5.p,Theorem,thm,7,1.0,1.0,0.0
SEU/SEU839^5.p,Theorem,thm,7,3.0,1.0,0.0
SEV/SEV329^5.p,CounterSatisfiable,csa,7,7.0,3.0,0.0
SEV/SEV327^5.p,CounterSatisfiable,csa,7,8.0,3.0,0.0
SYO/SYO087^5.p,Theorem,thm,7,2.0,1.0,0.0
SET/SET610^5.p,Theorem,thm,7,3.0,1.0,0.0
SEV/SEV334^5.p,CounterSatisfiable,csa,7,7.0,3.0,0.0
SYO/SYO507^1.p,Theorem,thm,7,3.0,1.0,0.0
SYO/SYO200^5.p,Theorem,thm,7,8.0,1.0,0.0
SET/SET011^5.p,Theorem,thm,7,3.0,1.0,0.0
SYN/SYN992^1.p,Theorem,thm,7,5.0,1.0,1.0
SEU/SEU842^5.p,Theorem,thm,7,3.0,1.0,0.0
SYO/SYO156^5.p,CounterSatisfiable,csa,7,1.0,1.0,0.0
SYO/SYO034^1.p,Theorem,thm,7,5.0,1.0,0.0
SET/SET606^5.p,Theorem,thm,7,3.0,1.0,0.0
SYO/SYO344^5.p,Theorem,thm,7,3.0,1.0,0.0
SYO/SYO031^1.p,Theorem,thm,7,12.0,1.0,0.0
SYO/SYO286^5.p,Theorem,thm,7,8.0,1.0,1.0
SEU/SEU503^2.p,Theorem,thm,7,10.0,2.0,1.0
SEU/SEU501^2.p,Theorem,thm,7,10.0,1.0,1.0
SEU/SEU502^2.p,Theorem,thm,7,9.0,2.0,1.0
SEV/SEV323^5.p,CounterSatisfiable,csa,7,7.0,2.0,0.0
SYO/SYO139^5.p,Theorem,thm,7,5.0,1.0,0.0
SYO/SYO199^5.p,Theorem,thm,8,9.0,1.0,0.0
NUM/NUM694^1.p,Theorem,thm,8,10.0,2.0,1.0
SYO/SYO502^1.p,Theorem,thm,8,3.0,1.0,0.0
